Squad,Poss,Team Gls/90,Team xG/90,Sh/90,Cmp%,PrgP,1/3,Team KP/90,Team LP Att/90,GCA90,SCA90,Team Tkl Att 3rd/90,Team Blk/90,Team Int/90,Team Tkl Def 3rd/90,Team Tkl Mid 3rd/90,PrgC,Team Tch Att 3rd/90,Team Tch Def 3rd/90,Team Tch Mid 3rd/90,Season
Arsenal,59.3,2.21,1.88,15.5,83.2,53.9,43.1,11.7,67.1,3.95,27.5,3.1,9.5,6.2,6.3,5.6,21.7,210.9,174.5,301.3,EPL 2022-2023
Aston Villa,49.3,1.29,1.32,11.24,79.2,32.7,25.4,8.4,67.9,2.21,19.76,2.0,11.5,8.5,8.0,6.6,16.8,123.8,208.2,238.9,EPL 2022-2023
Bournemouth,40.4,0.97,1.01,9.42,76.2,26.5,22.4,6.9,65.6,1.68,16.21,1.4,13.1,9.3,8.3,6.6,13.3,112.0,210.6,208.8,EPL 2022-2023
Brentford,43.8,1.47,1.48,10.53,72.8,29.8,24.3,7.5,77.6,2.58,18.47,2.3,12.0,9.0,7.1,6.0,10.3,127.2,191.8,205.3,EPL 2022-2023
Brighton,60.2,1.79,1.93,15.97,83.9,48.7,38.4,12.6,64.8,3.03,28.29,2.7,10.3,8.0,7.1,6.4,21.3,180.9,206.4,321.4,EPL 2022-2023
Chelsea,58.7,0.97,1.3,12.66,83.8,45.7,37.5,9.9,65.8,1.79,22.61,2.9,12.3,9.0,9.6,7.0,21.8,180.3,222.7,317.3,EPL 2022-2023
Crystal Palace,46.3,1.0,1.03,11.13,77.4,32.7,26.7,8.3,72.4,1.76,19.63,2.4,12.2,9.4,9.3,6.5,14.6,131.3,201.8,244.1,EPL 2022-2023
Everton,42.8,0.84,1.19,11.21,74.7,27.7,25.4,8.1,77.6,1.55,19.34,2.3,13.4,10.3,9.5,6.8,13.2,127.1,190.0,221.5,EPL 2022-2023
Fulham,48.8,1.37,1.22,11.05,77.6,34.9,27.5,8.1,75.3,2.37,19.76,2.7,12.0,8.9,7.8,6.0,17.4,142.5,196.4,250.7,EPL 2022-2023
Leeds United,47.0,1.18,1.24,12.08,73.5,37.6,28.6,8.9,66.5,1.82,20.61,3.2,14.1,10.3,9.9,9.0,14.6,147.0,183.4,244.5,EPL 2022-2023
Leicester City,47.7,1.29,1.33,10.84,78.9,34.3,30.1,8.4,63.7,2.29,19.58,1.7,13.6,9.7,9.1,7.7,15.3,122.1,221.3,270.9,EPL 2022-2023
Liverpool,60.8,1.87,1.88,15.82,82.3,52.4,42.5,12.1,86.4,3.39,27.53,2.9,9.2,8.8,6.0,6.6,18.9,188.1,213.7,350.8,EPL 2022-2023
Manchester City,64.7,2.42,2.07,15.53,87.3,54.6,46.6,12.2,75.0,4.42,28.92,2.3,8.9,5.9,4.9,5.2,26.0,218.4,195.0,378.2,EPL 2022-2023
Manchester Utd,53.7,1.47,1.78,15.53,80.9,42.0,33.4,12.6,69.8,2.61,27.66,2.2,13.1,9.3,9.0,6.1,18.7,172.9,213.0,273.4,EPL 2022-2023
Newcastle Utd,52.3,1.68,1.89,14.87,78.1,42.6,28.5,11.4,73.0,2.79,26.53,2.2,11.8,8.8,7.1,6.7,18.3,171.5,177.8,238.2,EPL 2022-2023
Nott'ham Forest,37.6,0.95,1.03,9.53,70.1,22.6,17.4,6.5,71.3,1.42,15.61,2.1,13.2,9.2,10.0,5.3,11.5,98.8,195.3,183.0,EPL 2022-2023
Southampton,44.5,0.95,0.99,10.87,75.2,29.6,24.7,7.9,69.1,1.61,18.89,1.5,14.3,11.2,9.9,7.3,15.5,128.4,196.1,236.8,EPL 2022-2023
Tottenham,50.0,1.79,1.5,13.47,81.2,38.1,28.2,10.2,70.2,3.05,23.95,2.1,11.3,8.9,8.6,5.7,18.2,135.1,225.6,271.8,EPL 2022-2023
West Ham,42.1,1.08,1.29,12.26,75.6,33.5,26.1,8.9,72.4,1.76,21.5,2.4,10.9,10.7,7.6,5.9,16.2,131.4,181.5,229.1,EPL 2022-2023
Wolves,49.9,0.74,0.97,10.76,79.6,35.3,29.2,7.7,76.1,1.16,18.76,2.0,13.1,7.3,9.6,5.8,16.1,130.5,224.8,243.8,EPL 2022-2023
