Squad,Poss,Team Gls/90,Team xG/90,Sh/90,Cmp%,PrgP,1/3,Team KP/90,Team LP Att/90,GCA90,SCA90,Team Tkl Att 3rd/90,Team Blk/90,Team Int/90,Team Tkl Def 3rd/90,Team Tkl Mid 3rd/90,PrgC,Team Tch Att 3rd/90,Team Tch Def 3rd/90,Team Tch Mid 3rd/90,Season
Arsenal,52.8,1.58,1.59,15.29,81.5,43.6,35.6,11.5,68.0,2.61,27.11,2.2,10.2,7.8,6.9,5.1,19.3,170.8,188.2,272.0,EPL 2021-2022
Aston Villa,46.5,1.32,1.16,12.13,77.3,34.2,26.8,9.4,67.7,2.45,22.03,2.0,11.9,8.9,7.9,6.8,17.2,132.9,180.9,234.1,EPL 2021-2022
Brentford,44.8,1.21,1.21,11.47,71.8,31.3,24.8,8.2,75.1,2.05,19.45,2.1,10.1,10.3,7.9,6.0,11.8,120.2,206.9,215.8,EPL 2021-2022
Brighton,54.4,1.05,1.21,12.68,79.7,40.7,31.2,9.4,77.7,1.89,22.89,2.8,12.6,9.4,8.1,6.8,17.8,171.2,211.4,276.8,EPL 2021-2022
Burnley,40.2,0.84,1.05,10.66,67.0,25.6,23.1,7.5,84.6,1.58,17.74,2.2,13.4,10.8,7.2,6.2,10.2,123.3,153.7,211.9,EPL 2021-2022
Chelsea,61.8,1.97,1.67,15.34,85.1,51.8,42.5,11.6,66.2,3.55,28.0,2.2,10.7,9.1,7.0,7.1,23.5,207.4,208.6,352.2,EPL 2021-2022
Crystal Palace,51.1,1.32,1.22,10.63,78.5,32.3,26.1,8.0,75.6,2.13,18.71,2.1,11.9,8.8,8.5,6.2,15.6,130.1,230.6,262.9,EPL 2021-2022
Everton,40.0,1.11,1.09,11.32,71.2,28.9,23.6,8.5,71.2,1.79,19.53,2.2,13.1,9.6,9.7,6.6,13.5,131.9,168.3,207.9,EPL 2021-2022
Leeds United,52.3,1.11,1.17,12.63,76.5,39.0,26.2,9.1,72.5,1.74,21.71,2.4,12.4,10.4,10.4,7.8,17.7,129.4,224.2,250.1,EPL 2021-2022
Leicester City,52.0,1.63,1.26,11.39,80.1,35.7,27.0,8.2,67.9,2.76,19.61,2.2,12.3,9.7,8.8,7.1,16.4,130.6,225.7,291.2,EPL 2021-2022
Liverpool,62.7,2.47,2.33,18.97,82.8,59.0,49.4,13.9,84.5,4.29,32.87,2.8,9.4,8.9,5.4,6.3,23.3,221.6,189.3,373.1,EPL 2021-2022
Manchester City,67.9,2.53,2.33,18.53,87.5,63.7,55.5,14.1,76.2,4.16,33.84,2.7,7.0,7.3,4.8,5.6,30.1,256.0,172.8,402.1,EPL 2021-2022
Manchester Utd,52.7,1.47,1.47,13.24,80.9,41.3,34.6,10.7,69.1,2.74,24.13,1.8,10.6,8.9,8.4,5.2,20.6,166.6,194.5,293.2,EPL 2021-2022
Newcastle Utd,40.4,1.08,1.0,11.74,72.7,24.3,20.8,8.1,72.3,1.84,19.95,1.6,11.1,9.5,8.8,7.0,14.3,113.5,177.1,196.9,EPL 2021-2022
Norwich City,42.9,0.55,0.85,9.74,75.7,27.1,19.4,6.9,72.6,0.92,16.76,1.3,11.8,10.0,8.5,6.4,14.9,109.7,217.0,211.8,EPL 2021-2022
Southampton,47.7,1.08,1.18,12.58,73.8,34.9,26.7,9.3,68.2,1.87,21.42,1.9,11.3,11.7,7.5,6.4,19.2,150.3,172.1,247.6,EPL 2021-2022
Tottenham,51.8,1.66,1.61,12.79,83.1,38.4,30.8,10.0,62.4,3.08,23.21,1.8,12.4,9.3,7.5,6.4,20.8,148.1,210.8,301.4,EPL 2021-2022
Watford,40.7,0.87,1.05,10.45,71.2,28.2,21.9,7.8,76.4,1.5,18.24,1.6,11.6,11.7,9.0,5.6,14.7,113.9,190.7,206.0,EPL 2021-2022
West Ham,47.9,1.53,1.35,11.66,78.0,38.1,29.1,8.4,76.5,2.68,20.26,1.6,11.1,9.8,7.2,5.2,17.0,145.9,184.5,262.9,EPL 2021-2022
Wolves,49.5,0.92,0.99,10.55,79.8,33.8,28.8,7.7,79.1,1.53,18.21,1.4,11.5,10.2,9.9,6.4,19.0,128.6,222.9,268.5,EPL 2021-2022
