Squad,Poss,Team Gls/90,Team xG/90,Sh/90,Cmp%,PrgP,1/3,Team KP/90,Team LP Att/90,GCA90,SCA90,Team Tkl Att 3rd/90,Team Blk/90,Team Int/90,Team Tkl Def 3rd/90,Team Tkl Mid 3rd/90,PrgC,Team Tch Att 3rd/90,Team Tch Def 3rd/90,Team Tch Mid 3rd/90,Season
Arsenal,58.2,2.26,2.0,17.03,84.6,55.4,40.7,13.5,56.9,4.0,31.18,2.8,10.8,7.7,6.8,6.5,21.6,225.3,176.7,300.2,EPL 2023-2024
Aston Villa,53.1,1.89,1.67,13.45,83.3,38.2,30.5,10.5,62.3,3.39,24.0,1.8,10.2,6.2,7.1,5.5,20.4,143.7,215.0,253.6,EPL 2023-2024
Bournemouth,44.4,1.37,1.47,14.18,74.7,34.6,28.3,10.9,78.0,2.18,25.05,2.9,13.3,9.4,7.9,7.4,18.7,149.6,179.5,222.9,EPL 2023-2024
Brentford,45.2,1.42,1.53,12.37,74.6,33.8,25.4,8.7,73.1,2.13,21.16,2.1,12.5,9.9,9.2,6.6,13.3,137.1,209.1,217.2,EPL 2023-2024
Brighton,59.8,1.32,1.49,14.61,87.1,46.8,39.1,11.3,56.9,2.34,26.58,2.6,11.5,7.6,7.7,6.6,22.7,178.1,248.7,344.5,EPL 2023-2024
Burnley,47.4,1.05,1.07,11.32,77.6,31.1,25.7,8.6,72.5,1.95,19.92,2.1,12.6,7.4,7.4,6.5,19.1,135.7,211.1,242.0,EPL 2023-2024
Chelsea,58.6,2.0,1.96,14.13,85.8,42.5,35.6,11.0,61.3,3.5,25.79,2.7,11.8,7.8,8.6,6.2,23.0,172.6,246.5,317.6,EPL 2023-2024
Crystal Palace,42.3,1.47,1.28,11.89,77.1,30.9,26.2,9.3,68.6,2.71,20.89,3.0,12.0,8.5,9.8,7.9,13.3,133.6,190.4,244.2,EPL 2023-2024
Everton,40.8,1.05,1.42,13.26,73.2,29.7,25.2,8.9,80.4,1.58,22.47,2.9,12.6,9.4,9.8,6.9,13.0,139.0,178.7,215.3,EPL 2023-2024
Fulham,50.6,1.42,1.34,13.13,80.6,38.6,29.4,10.0,75.1,2.5,23.08,2.1,11.5,9.8,8.9,6.8,17.6,146.5,226.8,272.6,EPL 2023-2024
Liverpool,61.3,2.11,2.31,20.55,83.6,55.5,43.8,15.7,74.1,3.45,36.53,3.0,12.5,7.7,7.2,7.6,24.3,207.1,194.5,362.0,EPL 2023-2024
Luton Town,42.4,1.29,1.12,11.24,73.2,29.3,22.0,8.3,75.8,2.13,19.71,2.3,13.0,8.6,8.7,6.2,17.8,130.6,184.9,208.1,EPL 2023-2024
Manchester City,65.2,2.47,2.12,17.97,88.7,54.2,49.7,14.3,65.7,4.45,33.13,3.0,9.3,6.1,4.8,5.8,29.7,270.0,184.5,377.6,EPL 2023-2024
Manchester Utd,50.6,1.5,1.49,14.29,80.8,38.9,31.6,11.4,66.2,2.58,26.03,2.7,14.1,8.2,8.8,6.3,20.0,161.7,215.7,259.4,EPL 2023-2024
Newcastle Utd,52.2,2.18,2.0,14.26,81.2,41.0,29.1,11.2,65.9,3.79,25.87,2.4,13.1,7.5,8.3,6.7,19.4,158.0,212.7,266.9,EPL 2023-2024
Nott'ham Forest,40.6,1.29,1.31,11.84,75.8,30.0,23.8,8.6,65.5,2.37,20.61,1.9,12.8,8.7,11.5,5.8,15.9,123.3,193.2,218.7,EPL 2023-2024
Sheffield Utd,35.8,0.82,1.01,9.47,70.5,23.3,18.4,6.8,69.2,1.26,15.82,2.3,13.5,9.2,9.9,6.5,9.0,100.8,188.2,187.9,EPL 2023-2024
Tottenham,61.6,1.82,1.79,15.32,85.3,55.4,41.8,12.1,50.1,3.21,27.71,3.3,11.7,9.3,8.8,6.9,25.2,210.8,224.2,322.6,EPL 2023-2024
West Ham,41.1,1.53,1.38,11.71,76.8,31.8,25.8,8.0,71.5,2.74,20.58,2.1,12.8,9.5,9.2,6.7,14.6,123.5,192.1,239.5,EPL 2023-2024
Wolves,48.9,1.24,1.23,11.18,80.8,31.1,23.9,8.3,66.5,2.13,19.55,2.0,13.3,7.5,10.9,6.5,17.7,126.4,228.3,270.1,EPL 2023-2024
